,Year,Unnamed: 6,Unnamed: 12,Unnamed: 20
0,2022.0,,,Total Sum of Year
1,2020.0,,Sum of Year,
2,2021.0,,8076,26211
3,2020.0,,4043,24236
4,2020.0,,10092,24177
5,2019.0,,2018,24175
6,2016.0,,2017,22168
7,2021.0,,2005,22157
8,2016.0,,8069,22178
9,2010.0,,10076,22179
10,2008.0,,2013,18172
11,1996.0,,2018,18112
12,2021.0,,6058,16125
13,2020.0,,4037,16121
14,2010.0,,2019,16119
15,2020.0,,4030,16140
16,2015.0,,,14136
17,2021.0,,2021,14111
18,2021.0,,4042,14133
19,2005.0,,2018,14112
20,2011.0,,2019,12125
21,2021.0,,8053,12088
22,2017.0,,6062,12090
23,2004.0,,,12086
24,2020.0,,4040,12063
25,2018.0,,2022,12092
26,2006.0,,,12076
27,2008.0,,,12117
28,2008.0,,8049,12071
29,2012.0,,4029,10051
30,2021.0,,2018,10049
31,2016.0,,6041,10075
32,2001.0,,4044,10108
33,1999.0,,4039,10081
34,2020.0,,,10104
35,2012.0,,4023,10080
36,2015.0,,2021,10074
37,2021.0,,4022,10056
38,2010.0,,6024,10046
39,2021.0,,,10072
40,2022.0,,,10101
41,2022.0,,6046,10087
42,2022.0,,8062,10083
43,2022.0,,2017,10060
44,2022.0,,2017,10074
45,2022.0,,,10060
46,2022.0,,2022,8059
47,2022.0,,2020,8047
48,2022.0,,,8058
49,2012.0,,,8078
50,2022.0,,8057,8057
51,2009.0,,,8059
52,2021.0,,2000,8054
53,2020.0,,,8080
54,2008.0,,2003,8030
55,2018.0,,2017,8074
56,2020.0,,6043,8058
57,2018.0,,4019,8034
58,1994.0,,6066,8088
59,2021.0,,4034,8052
60,2021.0,,1998,6024
61,1986.0,,6044,6044
62,2018.0,,4032,6035
63,2018.0,,4015,6036
64,2016.0,,6037,6037
65,2015.0,,4030,6040
66,2019.0,,2010,6046
67,2021.0,,4043,6053
68,2021.0,,4024,6041
69,2020.0,,2022,6063
70,2020.0,,,4043
71,2022.0,,,4029
72,2018.0,,,4041
73,2022.0,,,4012
74,2011.0,,,4037
75,2019.0,,,4042
76,2021.0,,,4023
77,2018.0,,2020,4040
78,2019.0,,,4041
79,2020.0,,,4040
80,2014.0,,,4029
81,2015.0,,2020,4031
82,2017.0,,,4041
83,2010.0,,2017,4025
84,2011.0,,,4017
85,2021.0,,,4038
86,2010.0,,,4028
87,2021.0,,4039,4039
88,2021.0,,,4025
89,2011.0,,,4038
90,2021.0,,,2021
91,2020.0,,,1999
92,2020.0,,,2008
93,2020.0,,,2022
94,2018.0,,,2011
95,2007.0,,,2022
96,2018.0,,,2021
97,2020.0,,2017,2017
98,2021.0,,2003,2003
99,2020.0,,2005,2005
100,2013.0,,,1995
101,2009.0,,,2011
102,2021.0,,,2018
103,2007.0,,,2021
104,2011.0,,,2017
105,2021.0,,2006,2006
106,2004.0,,,2006
107,2010.0,,,2022
108,2004.0,,2001,2001
109,2011.0,,2018,2018
110,2011.0,,,2020
111,2004.0,,,2009
112,2020.0,,,1993
113,2013.0,,,2021
114,2019.0,,2020,2020
115,2013.0,,,2020
116,2006.0,,,2017
117,1988.0,,,2022
118,1989.0,,,2022
119,2019.0,,,2019
120,2014.0,,,2022
121,1995.0,,,2018
122,2020.0,,,2020
123,2002.0,,,2021
124,1991.0,,,1998
125,2011.0,,,2007
126,1984.0,,1994,1994
127,2011.0,,2014,2014
128,2003.0,,2001,2001
129,2017.0,,,2017
130,2021.0,,,2021
131,2017.0,,,2021
132,2018.0,,,1999
133,1993.0,,2008,2008
134,2021.0,,,2020
135,2020.0,,,2018
136,2019.0,,,2019
137,2019.0,,,2009
138,2021.0,,,2018
139,2021.0,,2012,2012
140,2021.0,,,2019
141,2022.0,,,2010
142,2021.0,,2018,2018
143,2022.0,,,2008
144,2021.0,,272049,987456
145,2021.0,,,
146,2022.0,,,
147,2021.0,,,
148,2021.0,,,
149,2021.0,,,
150,2021.0,,,
151,2021.0,,,
152,2021.0,,,
153,2021.0,,,
154,2021.0,,,
155,2021.0,,,
156,2022.0,,,
157,2022.0,,,
158,2021.0,,,
159,2021.0,,,
160,2019.0,,,
161,2010.0,,,
162,2011.0,,,
163,2015.0,,,
164,2020.0,,,
165,2017.0,,,
166,2017.0,,,
167,2021.0,,,
168,2019.0,,,
169,2019.0,,,
170,2020.0,,,
171,2020.0,,,
172,2019.0,,,
173,2020.0,,,
174,2018.0,,,
175,2019.0,,,
176,2019.0,,,
177,2020.0,,,
178,2020.0,,,
179,2019.0,,,
180,2020.0,,,
181,2019.0,,,
182,2020.0,,,
183,2020.0,,,
184,2020.0,,,
185,2019.0,,,
186,2020.0,,,
187,2018.0,,,
188,2020.0,,,
189,2020.0,,,
190,2020.0,,,
191,2020.0,,,
192,2020.0,,,
193,2017.0,,,
194,2020.0,,,
195,2019.0,,,
196,2018.0,,,
197,2019.0,,,
198,2020.0,,,
199,1986.0,,,
200,2017.0,,,
201,2018.0,,,
202,2017.0,,,
203,2006.0,,,
204,2022.0,,,
205,2022.0,,,
206,2022.0,,,
207,2022.0,,,
208,2022.0,,,
209,2022.0,,,
210,2022.0,,,
211,2021.0,,,
212,2022.0,,,
213,2022.0,,,
214,2022.0,,,
215,2021.0,,,
216,2022.0,,,
217,2022.0,,,
218,2022.0,,,
219,2022.0,,,
220,2022.0,,,
221,2022.0,,,
222,2021.0,,,
223,2022.0,,,
224,2022.0,,,
225,2022.0,,,
226,2022.0,,,
227,2021.0,,,
228,2022.0,,,
229,2022.0,,,
230,2022.0,,,
231,2022.0,,,
232,2022.0,,,
233,2021.0,,,
234,2021.0,,,
235,2022.0,,,
236,2022.0,,,
237,2021.0,,,
238,2021.0,,,
239,2021.0,,,
240,2022.0,,,
241,2021.0,,,
242,2004.0,,,
243,1994.0,,,
244,2011.0,,,
245,2013.0,,,
246,2015.0,,,
247,2018.0,,,
248,1999.0,,,
249,2003.0,,,
250,2019.0,,,
251,2019.0,,,
252,1986.0,,,
253,2021.0,,,
254,2006.0,,,
255,2020.0,,,
256,2007.0,,,
257,2018.0,,,
258,1998.0,,,
259,1994.0,,,
260,2007.0,,,
261,2008.0,,,
262,1980.0,,,
263,2017.0,,,
264,2018.0,,,
265,2018.0,,,
266,2015.0,,,
267,2002.0,,,
268,2020.0,,,
269,2001.0,,,
270,2004.0,,,
271,2017.0,,,
272,2021.0,,,
273,1998.0,,,
274,2005.0,,,
275,2005.0,,,
276,2005.0,,,
277,2004.0,,,
278,2010.0,,,
279,2018.0,,,
280,2020.0,,,
281,2006.0,,,
282,2010.0,,,
283,2011.0,,,
284,2008.0,,,
285,2021.0,,,
286,2019.0,,,
287,2003.0,,,
288,2009.0,,,
289,2004.0,,,
290,2020.0,,,
291,2018.0,,,
292,2021.0,,,
293,2011.0,,,
294,2009.0,,,
295,1996.0,,,
296,2020.0,,,
297,2020.0,,,
